Binomial.1.2,Order.1.2,Family.1.2,Genus.1.2,Species.1.2,Terrestrial,Marine,Freshwater,Aerial,Life.Habit.Method,Life.Habit.Source,Mass.g,Mass.Method,Mass.Source,Mass.Comparison,Mass.Comparison.Source,Island.Endemicity,IUCN.Status.1.2,Added.IUCN.Status.1.2,Diet.Plant,Diet.Vertebrate,Diet.Invertebrate,Diet.Method,Diet.Source
Eliurus_webbi,Rodentia,Nesomyidae,Eliurus,webbi,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,72.5,Reported,Garbutt N. Mammals of Madagascar a Complete Guide (2007),NA,NA,Occurs only on isolated islands,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Ellobius_alaicus,Rodentia,Cricetidae,Ellobius,alaicus,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,66.3,Imputed,PHYLACINE 1.2,NA,NA,Occurs on mainland,DD,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Ellobius_fuscocapillus,Rodentia,Cricetidae,Ellobius,fuscocapillus,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,80,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Ellobius_lutescens,Rodentia,Cricetidae,Ellobius,lutescens,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,117.3,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Ellobius_talpinus,Rodentia,Cricetidae,Ellobius,talpinus,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,40,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Ellobius_tancrei,Rodentia,Cricetidae,Ellobius,tancrei,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,64.5,Imputed,PHYLACINE 1.2,NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Emballonura_alecto,Chiroptera,Emballonuridae,Emballonura,alecto,0,0,0,1,Taxonomic,PHYLACINE 1.2,5.3,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on large land bridge islands,LC,No,10,0,90,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Emballonura_beccarii,Chiroptera,Emballonuridae,Emballonura,beccarii,0,0,0,1,Taxonomic,PHYLACINE 1.2,4.2,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on large land bridge islands,LC,No,10,0,90,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Emballonura_dianae,Chiroptera,Emballonuridae,Emballonura,dianae,0,0,0,1,Taxonomic,PHYLACINE 1.2,8,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on large land bridge islands,LC,No,10,0,90,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Emballonura_furax,Chiroptera,Emballonuridae,Emballonura,furax,0,0,0,1,Taxonomic,PHYLACINE 1.2,11.2,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on large land bridge islands,DD,No,10,0,90,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Emballonura_monticola,Chiroptera,Emballonuridae,Emballonura,monticola,0,0,0,1,Taxonomic,PHYLACINE 1.2,5.7,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,10,0,90,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Emballonura_raffrayana,Chiroptera,Emballonuridae,Emballonura,raffrayana,0,0,0,1,Taxonomic,PHYLACINE 1.2,5.6,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on large land bridge islands,LC,No,10,0,90,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Emballonura_semicaudata,Chiroptera,Emballonuridae,Emballonura,semicaudata,0,0,0,1,Taxonomic,PHYLACINE 1.2,6.3,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs only on isolated islands,EN,No,10,0,90,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Emballonura_serii,Chiroptera,Emballonuridae,Emballonura,serii,0,0,0,1,Taxonomic,PHYLACINE 1.2,8.8,Assumed isometric based on forearm length,Mammalia 58: 601-612 (2009),Emballonura_furax,Mammalia 58: 601-612 (2009),Occurs on large land bridge islands,LC,No,0,0,100,Transformed 000 Species,"Gainsbury, A. M., et al. 2018. An updated global data set for diet preferences in terrestrial mammals: testing the validity of extrapolation. Mammal Review, 1-8."
Enchisthenes_hartii,Chiroptera,Phyllostomidae,Enchisthenes,hartii,0,0,0,1,Taxonomic,PHYLACINE 1.2,16,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,90,0,10,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Enhydra_lutris,Carnivora,Mustelidae,Enhydra,lutris,1,1,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,23500,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,EN,No,0,50,50,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Eoglaucomys_fimbriatus,Rodentia,Sciuridae,Eoglaucomys,fimbriatus,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,712,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,60,20,20,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Eolagurus_luteus,Rodentia,Cricetidae,Eolagurus,luteus,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,26,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Eolagurus_przewalskii,Rodentia,Cricetidae,Eolagurus,przewalskii,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,16,Assumed isometric based on head-body length,"Smith AT, Xie Y, Hoffmann RS, Lunde D, MacKinnon J, Wilson DE, Wozencraft WD. A Guide to the Mammals of China (2008)",Eolagurus_luteus,"Smith AT, Xie Y, Hoffmann RS, Lunde D, MacKinnon J, Wilson DE, Wozencraft WD. A Guide to the Mammals of China (2008)",Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Eonycteris_major,Chiroptera,Pteropodidae,Eonycteris,major,0,0,0,1,Taxonomic,PHYLACINE 1.2,72.8,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on large land bridge islands,DD,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Eonycteris_robusta,Chiroptera,Pteropodidae,Eonycteris,robusta,0,0,0,1,Taxonomic,PHYLACINE 1.2,77.5,Reported,Fieldiana Zoology 69: 1-44 (1992),NA,NA,Occurs only on isolated islands,NT,No,100,0,0,Transformed 000 Genus,"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930."
Eonycteris_spelaea,Chiroptera,Pteropodidae,Eonycteris,spelaea,0,0,0,1,Taxonomic,PHYLACINE 1.2,58.1,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Eospalax_fontanierii,Rodentia,Spalacidae,Eospalax,fontanierii,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,245,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Eospalax_rothschildi,Rodentia,Spalacidae,Eospalax,rothschildi,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,240,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Eospalax_smithii,Rodentia,Spalacidae,Eospalax,smithii,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,379,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Eothenomys_cachinus,Rodentia,Cricetidae,Eothenomys,cachinus,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,30.7,Imputed,PHYLACINE 1.2,NA,NA,Occurs on mainland,LC,No,99,0,1,Imputed 000 Species,PHYLACINE 1.2
Eothenomys_chinensis,Rodentia,Cricetidae,Eothenomys,chinensis,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,45.3,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Eothenomys_custos,Rodentia,Cricetidae,Eothenomys,custos,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,30.8,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Eothenomys_melanogaster,Rodentia,Cricetidae,Eothenomys,melanogaster,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,27,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Eothenomys_miletus,Rodentia,Cricetidae,Eothenomys,miletus,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,30.7,Imputed,PHYLACINE 1.2,NA,NA,Occurs on mainland,LC,No,99,0,1,Imputed 000 Species,PHYLACINE 1.2
Eothenomys_olitor,Rodentia,Cricetidae,Eothenomys,olitor,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,22,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Eothenomys_proditor,Rodentia,Cricetidae,Eothenomys,proditor,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,42.5,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Eothenomys_wardi,Rodentia,Cricetidae,Eothenomys,wardi,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,38.9,Imputed,PHYLACINE 1.2,NA,NA,Occurs on mainland,NT,No,100,0,0,Imputed 000 Species,PHYLACINE 1.2
Eozapus_setchuanus,Rodentia,Dipodidae,Eozapus,setchuanus,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,32.6,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,100,0,0,Transformed 000 Species,"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930."
Episoriculus_caudatus,Eulipotyphla,Soricidae,Episoriculus,caudatus,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,9.1,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,0,30,70,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Episoriculus_fumidus,Eulipotyphla,Soricidae,Episoriculus,fumidus,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,6.7,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on large land bridge islands,LC,No,0,30,70,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Episoriculus_leucops,Eulipotyphla,Soricidae,Episoriculus,leucops,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,8.2,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,0,30,70,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Episoriculus_macrurus,Eulipotyphla,Soricidae,Episoriculus,macrurus,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,13.6,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,0,30,70,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Epixerus_ebii,Rodentia,Sciuridae,Epixerus,ebii,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,592,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,80,0,20,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Epomophorus_angolensis,Chiroptera,Pteropodidae,Epomophorus,angolensis,0,0,0,1,Taxonomic,PHYLACINE 1.2,131.7,Assumed isometric based on forearm length,Beaufortia 38: 751-46 (1988),Epomophorus_gambianus,Beaufortia 38: 751-46 (1988),Occurs on mainland,NT,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Epomophorus_anselli,Chiroptera,Pteropodidae,Epomophorus,anselli,0,0,0,1,Taxonomic,PHYLACINE 1.2,65.6,Assumed isometric based on forearm length,Acta Chiropterologica 6: 249-268 (2004),Epomophorus_grandis,Beaufortia 38: 751-46 (1988),Occurs on mainland,DD,No,100,0,0,Transformed 000 Genus,"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930."
Epomophorus_crypturus,Chiroptera,Pteropodidae,Epomophorus,crypturus,0,0,0,1,Taxonomic,PHYLACINE 1.2,111.1,Assumed isometric based on forearm length,Beaufortia 38: 751-46 (1988),Epomophorus_gambianus,Beaufortia 38: 751-46 (1988),Occurs on mainland,LC,No,100,0,0,Transformed 000 Species,"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930."
Epomophorus_gambianus,Chiroptera,Pteropodidae,Epomophorus,gambianus,0,0,0,1,Taxonomic,PHYLACINE 1.2,128.9,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Epomophorus_grandis,Chiroptera,Pteropodidae,Epomophorus,grandis,0,0,0,1,Taxonomic,PHYLACINE 1.2,48.6,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,DD,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Epomophorus_labiatus,Chiroptera,Pteropodidae,Epomophorus,labiatus,0,0,0,1,Taxonomic,PHYLACINE 1.2,63,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Epomophorus_minimus,Chiroptera,Pteropodidae,Epomophorus,minimus,0,0,0,1,Taxonomic,PHYLACINE 1.2,44,Assumed isometric based on forearm length,Beaufortia 38: 751-46 (1988),Epomophorus_grandis,Beaufortia 38: 751-46 (1988),Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Epomophorus_minor,Chiroptera,Pteropodidae,Epomophorus,minor,0,0,0,1,Taxonomic,PHYLACINE 1.2,65.5,Imputed,PHYLACINE 1.2,NA,NA,Occurs on mainland,LC,No,100,0,0,Imputed 000 Species,PHYLACINE 1.2
Epomophorus_wahlbergi,Chiroptera,Pteropodidae,Epomophorus,wahlbergi,0,0,0,1,Taxonomic,PHYLACINE 1.2,91.6,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Epomops_buettikoferi,Chiroptera,Pteropodidae,Epomops,buettikoferi,0,0,0,1,Taxonomic,PHYLACINE 1.2,133.8,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Epomops_dobsonii,Chiroptera,Pteropodidae,Epomops,dobsonii,0,0,0,1,Taxonomic,PHYLACINE 1.2,120,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Epomops_franqueti,Chiroptera,Pteropodidae,Epomops,franqueti,0,0,0,1,Taxonomic,PHYLACINE 1.2,118.9,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Eptesicus_andinus,Chiroptera,Vespertilionidae,Eptesicus,andinus,0,0,0,1,Taxonomic,PHYLACINE 1.2,9.3,Reported,Bulletin of the American Musem of Natural History 237: 1-219 (1998),NA,NA,Occurs on mainland,LC,No,0,0,100,Transformed 000 Species,"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930."
Eptesicus_bobrinskoi,Chiroptera,Vespertilionidae,Eptesicus,bobrinskoi,0,0,0,1,Taxonomic,PHYLACINE 1.2,7.6,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,0,0,100,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Eptesicus_bottae,Chiroptera,Vespertilionidae,Eptesicus,bottae,0,0,0,1,Taxonomic,PHYLACINE 1.2,14.2,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,0,0,100,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Eptesicus_brasiliensis,Chiroptera,Vespertilionidae,Eptesicus,brasiliensis,0,0,0,1,Taxonomic,PHYLACINE 1.2,9.5,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,0,0,100,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Eptesicus_chiriquinus,Chiroptera,Vespertilionidae,Eptesicus,chiriquinus,0,0,0,1,Taxonomic,PHYLACINE 1.2,11.3,Reported,Bulletin of the American Musem of Natural History 237: 1-219 (1998),NA,NA,Occurs on mainland,LC,No,0,0,100,Transformed 000 Species,"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930."
Eptesicus_diminutus,Chiroptera,Vespertilionidae,Eptesicus,diminutus,0,0,0,1,Taxonomic,PHYLACINE 1.2,6,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,0,0,100,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Eptesicus_dimissus,Chiroptera,Vespertilionidae,Eptesicus,dimissus,0,0,0,1,Taxonomic,PHYLACINE 1.2,15,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,DD,No,0,0,100,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Eptesicus_floweri,Chiroptera,Vespertilionidae,Eptesicus,floweri,0,0,0,1,Taxonomic,PHYLACINE 1.2,6.7,Assumed isometric based on forearm length,Annals and Magazine of Natural History  7 7: 45-46 (1901),Eptesicus_nilssonii,"Smith AT, Xie Y, Hoffmann RS, Lunde D, MacKinnon J, Wilson DE, Wozencraft WD. A Guide to the Mammals of China (2008)",Occurs on mainland,LC,No,0,0,100,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Eptesicus_furinalis,Chiroptera,Vespertilionidae,Eptesicus,furinalis,0,0,0,1,Taxonomic,PHYLACINE 1.2,7.7,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,0,0,100,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
